Distance Method,MFW,Silhouette Score
cosine,10,0.3392779239801082
cosine,20,0.155570428184555
cosine,30,0.1055638045572149
cosine,40,0.11142410684124006
euclidean,10,0.16750088297270166
euclidean,20,0.13256816934066837
euclidean,30,0.08095877090052474
euclidean,40,0.059587599932673915
manhattan,10,0.34650934260900407
manhattan,20,0.1999293618432621
manhattan,30,0.16009666116766313
manhattan,40,0.10426105414435119
